"DisplayName","GUID","whenCreated","whenChanged","DistinguishedName","FilePath"
"TEST RDSH Computer Settings","{09DB2B87-24EB-43A0-A09E-C6BE2E9CF013}","6/22/2020 11:59:36 AM","5/19/2021 4:19:12 PM","CN={09DB2B87-24EB-43A0-A09E-C6BE2E9CF013},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{09DB2B87-24EB-43A0-A09E-C6BE2E9CF013}"
"BGINFO-RDS","{C661E585-7CB9-405A-A871-CDC85492F072}","7/2/2020 2:00:56 PM","5/19/2021 4:19:14 PM","CN={C661E585-7CB9-405A-A871-CDC85492F072},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{C661E585-7CB9-405A-A871-CDC85492F072}"
"SEP_Logon_As_Service","{00615047-399B-419A-AF2D-53984F36CEF7}","9/23/2020 10:56:40 AM","5/19/2021 4:19:14 PM","CN={00615047-399B-419A-AF2D-53984F36CEF7},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{00615047-399B-419A-AF2D-53984F36CEF7}"
"SQL Cluster 01 Service Account Login as a Service Rights","{71F202AB-A3FC-461D-BEE7-45ECE825189C}","7/20/2020 12:01:35 PM","5/19/2021 4:19:14 PM","CN={71F202AB-A3FC-461D-BEE7-45ECE825189C},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{71F202AB-A3FC-461D-BEE7-45ECE825189C}"
"Windows Update Servers No Updates","{07FC5F21-F066-477C-9CCC-9B89B09F7DBB}","9/25/2020 9:28:34 AM","5/19/2021 4:19:14 PM","CN={07FC5F21-F066-477C-9CCC-9B89B09F7DBB},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{07FC5F21-F066-477C-9CCC-9B89B09F7DBB}"
"New RDSH Computer Settings","{470917FA-9A2D-4335-8D24-983953570CF8}","7/22/2020 4:16:36 PM","5/19/2021 4:19:14 PM","CN={470917FA-9A2D-4335-8D24-983953570CF8},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{470917FA-9A2D-4335-8D24-983953570CF8}"
"ME ServiceDesk Agent","{D7278FB1-90AF-4ECA-9294-E5DF5FBD5CCC}","11/9/2020 2:59:16 PM","5/19/2021 4:19:15 PM","CN={D7278FB1-90AF-4ECA-9294-E5DF5FBD5CCC},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{D7278FB1-90AF-4ECA-9294-E5DF5FBD5CCC}"
"TEMPLATE - Server Windows Update","{87D47FBC-A3E3-48E8-825D-1CECF057908B}","9/16/2020 4:29:11 PM","5/19/2021 4:19:14 PM","CN={87D47FBC-A3E3-48E8-825D-1CECF057908B},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{87D47FBC-A3E3-48E8-825D-1CECF057908B}"
"Windows Update Servers Non HA","{0F58C29A-A714-434C-A1F1-221E14CAC4CA}","9/17/2020 9:33:04 AM","6/10/2021 4:42:27 PM","CN={0F58C29A-A714-434C-A1F1-221E14CAC4CA},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{0F58C29A-A714-434C-A1F1-221E14CAC4CA}"
"Configuration Manager Updates","{E86BEA01-898B-4BD5-B03E-90119520127C}","3/23/2021 11:27:37 AM","5/19/2021 4:19:17 PM","CN={E86BEA01-898B-4BD5-B03E-90119520127C},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{E86BEA01-898B-4BD5-B03E-90119520127C}"
"Windows Update Servers HA ODD","{D3940E5B-D121-4E3D-959E-D941703523FE}","9/17/2020 9:37:08 AM","6/10/2021 4:42:27 PM","CN={D3940E5B-D121-4E3D-959E-D941703523FE},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{D3940E5B-D121-4E3D-959E-D941703523FE}"
"Citrix VDA All Users (including admins)","{8C93CCE2-CA74-4692-BFA9-702D8F9F3F89}","5/10/2021 12:00:31 PM","6/1/2021 11:57:04 AM","CN={8C93CCE2-CA74-4692-BFA9-702D8F9F3F89},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{8C93CCE2-CA74-4692-BFA9-702D8F9F3F89}"
"Test RDSH Non-Admin Users (lockdown)","{5D20E904-520B-421E-9352-DEB40A314BDA}","1/27/2020 2:35:24 PM","5/19/2021 4:19:17 PM","CN={5D20E904-520B-421E-9352-DEB40A314BDA},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{5D20E904-520B-421E-9352-DEB40A314BDA}"
"Windows Update Servers HA EVEN","{1C103F4A-0BB2-4231-A771-4158EBE11C1B}","9/17/2020 9:37:55 AM","6/10/2021 4:42:27 PM","CN={1C103F4A-0BB2-4231-A771-4158EBE11C1B},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{1C103F4A-0BB2-4231-A771-4158EBE11C1B}"
"NDA-Citrix Delivery Controller","{20467881-E329-43D2-99E5-A403AAE31B0C}","4/23/2021 7:39:55 AM","5/19/2021 4:19:22 PM","CN={20467881-E329-43D2-99E5-A403AAE31B0C},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{20467881-E329-43D2-99E5-A403AAE31B0C}"
"Citrix VDA Non-Admin Users (lockdown)","{5B32755B-A3C4-4418-B2B0-2E351D56D462}","5/10/2021 12:02:12 PM","5/19/2021 4:19:25 PM","CN={5B32755B-A3C4-4418-B2B0-2E351D56D462},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{5B32755B-A3C4-4418-B2B0-2E351D56D462}"
"NDA-Loopback Policy Merge","{DA6402EA-842C-4F26-A0BB-46D983A826C6}","4/23/2021 3:27:55 PM","5/19/2021 4:19:22 PM","CN={DA6402EA-842C-4F26-A0BB-46D983A826C6},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{DA6402EA-842C-4F26-A0BB-46D983A826C6}"
"NDA-Citrix Provisioning Server Firewall Rules","{611EB10E-13AB-485A-9652-1663D4EDFD4D}","5/19/2021 11:20:53 AM","5/19/2021 4:19:27 PM","CN={611EB10E-13AB-485A-9652-1663D4EDFD4D},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{611EB10E-13AB-485A-9652-1663D4EDFD4D}"
"NDA-Citrix VDA Non-Admin Users (lockdown)","{73E50DBB-D978-42B8-B0BC-79CC137E5BB0}","6/9/2021 7:27:09 AM","7/23/2021 10:08:15 AM","CN={73E50DBB-D978-42B8-B0BC-79CC137E5BB0},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{73E50DBB-D978-42B8-B0BC-79CC137E5BB0}"
"Loopback Policy Merge IT OU","{43925D44-34ED-4D6E-8A7C-722A30C452C5}","4/30/2021 10:34:45 AM","5/19/2021 4:19:22 PM","CN={43925D44-34ED-4D6E-8A7C-722A30C452C5},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{43925D44-34ED-4D6E-8A7C-722A30C452C5}"
"NDA-Citrix GPO Loopback Policy","{4574FA48-18E1-4D62-AA18-6A497C06C0F2}","6/9/2021 7:50:54 AM","6/9/2021 7:52:34 AM","CN={4574FA48-18E1-4D62-AA18-6A497C06C0F2},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{4574FA48-18E1-4D62-AA18-6A497C06C0F2}"
"Office 16","{C25BF849-6BEA-40B4-9D17-23D24802EDC1}","2/21/2019 3:31:08 PM","5/19/2021 4:19:25 PM","CN={C25BF849-6BEA-40B4-9D17-23D24802EDC1},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{c25bf849-6bea-40b4-9d17-23d24802edc1}"
"NDA-Citrix VDA All Users (including Admins)","{69E57AB9-1A57-4412-8CAC-EDC62779E3D3}","7/22/2021 10:52:42 AM","9/23/2021 2:26:23 PM","CN={69E57AB9-1A57-4412-8CAC-EDC62779E3D3},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{69E57AB9-1A57-4412-8CAC-EDC62779E3D3}"
"NDA-Citrix VDA Computer Settings","{B6271C5A-7987-4E32-A3A5-03317F297F03}","5/10/2021 11:58:30 AM","9/16/2021 10:59:28 AM","CN={B6271C5A-7987-4E32-A3A5-03317F297F03},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{B6271C5A-7987-4E32-A3A5-03317F297F03}"
"NDA-Citrix FSLogix","{3571BCFC-3B6B-4C26-9259-DF49CAE3540A}","7/22/2021 11:55:12 AM","9/16/2021 8:16:10 AM","CN={3571BCFC-3B6B-4C26-9259-DF49CAE3540A},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{3571BCFC-3B6B-4C26-9259-DF49CAE3540A}"
"NDA-Citrix Policies ONLY User Settings","{85A908F2-A0A5-4B6A-BF3F-D9A641BF929C}","7/26/2021 2:06:27 PM","9/22/2021 3:19:57 PM","CN={85A908F2-A0A5-4B6A-BF3F-D9A641BF929C},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{85A908F2-A0A5-4B6A-BF3F-D9A641BF929C}"
"NDA-Citrix Policies ONLY Computer Settings","{BD374545-5D1F-434A-900E-7E6CF7F6DAED}","7/26/2021 2:07:17 PM","9/21/2021 10:05:23 AM","CN={BD374545-5D1F-434A-900E-7E6CF7F6DAED},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{BD374545-5D1F-434A-900E-7E6CF7F6DAED}"
"NDA-Citrix PVS VDA Computer Settings","{B51C813B-868A-4348-A5F5-61953AC85888}","7/28/2021 12:51:00 PM","7/28/2021 12:59:50 PM","CN={B51C813B-868A-4348-A5F5-61953AC85888},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{B51C813B-868A-4348-A5F5-61953AC85888}"
"NDA-Citrix No Java Update","{304DDC88-3740-4767-B7DD-951EEEE8437B}","9/14/2021 8:17:35 AM","9/14/2021 8:18:14 AM","CN={304DDC88-3740-4767-B7DD-951EEEE8437B},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{304DDC88-3740-4767-B7DD-951EEEE8437B}"
"NDA-Citrix Server Publish Desktop Shortcuts","{8EF2ABAA-9D60-4D09-BD0F-94EF14DDA043}","9/14/2021 8:20:55 AM","9/14/2021 8:21:13 AM","CN={8EF2ABAA-9D60-4D09-BD0F-94EF14DDA043},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{8EF2ABAA-9D60-4D09-BD0F-94EF14DDA043}"
"NDA-Citrix ShoreTel Windows Installer Compatibility","{D5BC590C-FE02-42D2-924A-D17E8CEAEE13}","9/14/2021 8:22:07 AM","9/14/2021 8:22:20 AM","CN={D5BC590C-FE02-42D2-924A-D17E8CEAEE13},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\sysvol\USON.LOCAL\Policies\{D5BC590C-FE02-42D2-924A-D17E8CEAEE13}"
"NDA-Citrix Chrome Default Browser","{AE68EE5B-E962-4D9C-A241-B8D895BC281F}","9/23/2021 2:38:27 PM","9/23/2021 2:55:09 PM","CN={AE68EE5B-E962-4D9C-A241-B8D895BC281F},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{AE68EE5B-E962-4D9C-A241-B8D895BC281F}"
"Logon Script Replacement","{B5909A99-C7A2-44F4-B26C-7C9AF3743295}","9/29/2021 11:09:31 AM","9/29/2021 11:27:38 AM","CN={B5909A99-C7A2-44F4-B26C-7C9AF3743295},CN=Policies,CN=System,DC=USON,DC=LOCAL","\\USON.LOCAL\SysVol\USON.LOCAL\Policies\{B5909A99-C7A2-44F4-B26C-7C9AF3743295}"
