"ObjectDN","ObjectOwner","EntityName","ActiveDirectoryRights","ObjectRights","ObjectClass","ObjectClassCategory","EntityType","EntityGroupMembers","EntityGroupMembersCount","isMemberOfOtherGroups","IsInherited","PropagationFlags","InheritanceFlags","InheritedObjectType","InheritanceType","ObjectFlags","AccessControlType","ObjectSID","IdentitySID"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","NT AUTHORITY\SYSTEM","GenericAll","All","top group ","Group","Other","","0","False","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-18"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","top group ","Group","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","False","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-32-544"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","top group ","Group","Other","","0","False","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-519"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","PHXC1B\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","top group ","Group","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","True","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-1735406465-2454681246-2117129149-512"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","NT AUTHORITY\SELF","ReadProperty, WriteProperty, ExtendedRight","Private-Information","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-10"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","BUILTIN\Terminal Server License Servers","ReadProperty, WriteProperty","Terminal-Server","top group ","Group","Group","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-32-561"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","BUILTIN\Terminal Server License Servers","ReadProperty, WriteProperty","Terminal-Server-License-Server","top group ","Group","Group","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-32-561"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Admin-Display-Name","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Exchange-Personal-Information","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Show-In-Address-Book","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Proxy-Addresses","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","GenericAll","ms-Exch-Dynamic-Distribution-List","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Legacy-Exchange-DN","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Display-Name","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Garbage-Coll-Period","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","ms-Exch-Public-Delegates","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Exchange-Information","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Display-Name-Printable","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","Text-Encoded-OR-Address","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Organization Management","WriteProperty","E-mail-Addresses","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23107"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Mobile-Mailbox-Flags","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Safe-Recipients-Hash","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","X509-Cert","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Dtmf-Map","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Blocked-Senders-Hash","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","CreateChild, DeleteChild, ListChildren","ms-Exch-Active-Sync-Devices","top group ","Group","Other","","0","False","False","InheritOnly","ContainerInherit","User","Descendents","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-User-Culture","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Mailbox-Security-Descriptor","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Public-Delegates","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","Group-Type","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Spoken-Name","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Pin-Checksum","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","Picture","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Safe-Senders-Hash","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","CreateChild, DeleteChild, ListChildren, ReadProperty, WriteProperty, ListObject","ms-Exch-Active-Sync-Device","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Server-Writable-Flags","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","CreateChild, DeleteChild, ListChildren","ms-Exch-Active-Sync-Devices","top group ","Group","Other","","0","False","False","InheritOnly","ContainerInherit","inetOrgPerson","Descendents","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Servers","ReadProperty, WriteProperty, ListObject, Delete","All","top group ","Group","Other","","0","False","False","NoPropagateInherit, InheritOnly","ContainerInherit","ms-Exch-Active-Sync-Device","Children","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23118"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","GenericAll","All","top group ","Group","Other","","0","False","False","InheritOnly","ContainerInherit","ms-Exch-Active-Sync-Devices","Descendents","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","GenericAll","All","top group ","Group","Other","","0","False","False","InheritOnly","ContainerInherit","ms-Exch-Public-Folder","Descendents","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteDacl","All","top group ","Group","Other","","0","False","False","InheritOnly","ContainerInherit","Group","Descendents","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","GenericAll","ms-Exch-Dynamic-Distribution-List","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","CreateChild, DeleteChild, ListChildren, ReadProperty, WriteProperty, ListObject","ms-Exch-Public-Folder","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Legacy-Exchange-DN","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Garbage-Coll-Period","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","ms-Exch-Public-Delegates","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Exchange-Information","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Text-Encoded-OR-Address","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Personal-Information","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","E-mail-Addresses","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Display-Name-Printable","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Public-Information","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Display-Name","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Admin-Display-Name","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Exchange-Personal-Information","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Show-In-Address-Book","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Proxy-Addresses","top group ","Group","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-789336058-1085031214-725345543-23119"
"CN=Domain Admins,CN=Users,DC=phx,DC=fnbm,DC=corp","PHXC1B\Domain Admins","PHXC1B\Cert Publishers","ReadProperty, WriteProperty","X509-Cert","top group ","Group","Group","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-512","S-1-5-21-1735406465-2454681246-2117129149-517"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","NT AUTHORITY\SYSTEM","GenericAll","All","top person organizationalPerson user ","User","Other","","0","False","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-18"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","BUILTIN\Account Operators","GenericAll","All","top person organizationalPerson user ","User","Group","","0","False","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-32-548"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","PHXC1B\Domain Admins","GenericAll","All","top person organizationalPerson user ","User","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","True","False","None","None","All","None","None","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-21-1735406465-2454681246-2117129149-512"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","NT AUTHORITY\SELF","ReadProperty, WriteProperty","Email-Information","top person organizationalPerson user ","User","Other","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-10"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","NT AUTHORITY\SELF","ReadProperty, WriteProperty","Personal-Information","top person organizationalPerson user ","User","Other","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-10"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","NT AUTHORITY\SELF","ReadProperty, WriteProperty","Web-Information","top person organizationalPerson user ","User","Other","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-10"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","BUILTIN\Terminal Server License Servers","ReadProperty, WriteProperty","Terminal-Server-License-Server","top person organizationalPerson user ","User","Group","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-32-561"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","BUILTIN\Terminal Server License Servers","ReadProperty, WriteProperty","Terminal-Server","top person organizationalPerson user ","User","Group","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-32-561"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","PHXC1B\Cert Publishers","ReadProperty, WriteProperty","X509-Cert","top person organizationalPerson user ","User","Group","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-21-1735406465-2454681246-2117129149-517"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","FNBMCORP\Exchange Windows Permissions","ExtendedRight","User-Force-Change-Password","top person organizationalPerson user ","User","Other","","0","False","True","None","ContainerInherit","User","All","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-21-789336058-1085031214-725345543-23121"
"CN=PHX MQ Admin,CN=Users,DC=phx,DC=fnbm,DC=corp","FNBMCORP\Enterprise Admins","FNBMCORP\NOC-Delegated Control","ExtendedRight","User-Force-Change-Password","top person organizationalPerson user ","User","Other","","0","False","True","None","ContainerInherit","User","All","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149-3119","S-1-5-21-789336058-1085031214-725345543-20151"
